	ID	comment	label
9297	상담선생님	일베올라가는속도 아직 안죽엇다 ㅋㅋ 전나 올라가네	0
711	설게이임	ㅂ2염	0
28469	화재+2	내 인생은 개 좆 박았는데 의대생 인생 1년 늦춰진다고 뭐 크게 문제 될 것 있냐시험 자격정지 주는 것도 아니고 그냥 내년에 시험 봐라 이기야	1
17656	 Rococo  	잘가요	0
5003	신뇽성애자	쩝 힘내라	0
31230	소중이	발기가 잘된다는 소리에 다행이다왼손도 쓸만해서 다행이고즐딸해게이야	1
24408	정상인정당한개만	베충군 김치맨을 구해줘	1
19582	 park평온  	아바타 설현	0
34289	 마약인생  	유튜버들은 니들한테 ㅈ도 죄송안해 신태일	1
3844	바위에피한방울	좀 사는애들 기준으로 따지면 아프리카도 번듯하게 사는애들은 유럽식으로 살아	0
18876	 이틀라면  	지민은 저 스트레스를	0
33071	 오민찬  	^^ㅣ발 질식사할거같아	1
17058	 이소희  	이 사람이 잘못한건 맞아도 심한 말이나 인신공격은 하지 맙시다 저사람이 나쁜짓을 했다고 하며 욕을 해도 된다는 생각을 하면 안됍니다 여러분은 저사람이 잘못했다고 하면서 왜 여러분들은 욕을합니까 욕도 죄를 저지른 것과 같습니다여러분은 잘못을 저지른적이 없습니까 여러분은 죄의 무게가 다르다며 반박을 할 것입니다 그럼 이렇게 생각을 해보십시오 한명이 큰 잘못을 저질렀습니다 그리고 또 한명이 작은 잘못을 저질렀습니다 하지만 작은 잘못이면 죄를 안지른 것입니까 큰 잘못을 지른 사람에게 욕을 마음껏 해도 나 자신은 떳떳하단 말입니까 이때까지 여러분이 지은 죄는 없습니까게다가 이렇게까지 반성하는 사람한테 꼭 욕을 해야 합니까 자신이 지은 죄는 모르고 다른사람이 지은 죄만 지적하는 사람은 부끄럽게 생각해야 합니다 마지막으로 이 글을 읽어도 욕해야 하고 나는 죄가 없으니 욕해도 된다고 생각하면 자신은 개의 아가라고 생각하시길 바랍니다	0
34848	 갑갑  	지민 민아 괴롭힘 ㄱ또깡설현 가해자 지민과 절친딱봐도 인성 각 잡히쥬신영 지 입으로 강아지 학대한걸 자랑함지금까지 끼리끼리도 이런 끼리끼리는 없었다 극혐	1
21214	 김김승현  	다시는 오지마라	0
7843	마미무	와 진짜 불쌍하다	0
6820	내일은정액왕	정신력 ㅇㅂ힘내라 글도 많이 올리고	0
26460	논땅+2	어휴 저거 사람 많다고 웃는거봐라11살 애새끼가 뭐가 걸레고 창녀라고 욕하는지 이해가 안되네병신들이 지들끼리 병신거리면서 노는건 이해되도애새끼 울리는건 진짜 이해가 안된다	1
25907	<3<3<3<3	나 병신맞는데 병신아	1
15462	 하하  	돌아와줘요ㅠㅜ	0
4832	쿨앤더갱	나도 50은 넘는데돈주고한거 뺴고 일반인	0
4508	오아시스타운	전설에 탑슨한다	0
